Seed,index,X_b,Q,t,X,F,errF
400,1,0.4,5,-0.5,2.27313,0.010564,0.00171435
400,1,0.4,5,-0.5,3.28716,0.00727192,0.000221124
400,1,0.4,5,-0.5,4.16189,0.0117345,0.000384721
400,1,0.4,5,-0.5,5.2628,0.0217294,0.00214175
400,1,0.4,5,-0.5,5.73767,0.0249138,0.00304019
400,1,0.6,5,-0.5,-0.147622,0.0110322,0.000589725
400,1,0.6,5,-0.5,1.16741,0.00862648,0.00227144
400,1,0.6,5,-0.5,2.27313,0.00444671,0.00104145
400,1,0.6,5,-0.5,3.28716,0.00306098,0.00024208
400,1,0.6,5,-0.5,4.16189,0.00493942,0.000362739
400,1,0.6,5,-0.5,5.2628,0.00914659,0.000757637
400,1,0.6,5,-0.5,5.73767,0.010487,0.00145324
400,1,0.8,5,-0.5,-0.147622,0.00576473,1.03008E-05
400,1,0.8,5,-0.5,1.16741,0.00450764,0.00181837
400,1,0.8,5,-0.5,2.27313,0.00232357,0.0008079
400,1,0.8,5,-0.5,3.28716,0.00159947,0.000402846
400,1,0.8,5,-0.5,4.16189,0.00258102,0.000622163
400,1,0.8,5,-0.5,5.2628,0.00477942,0.000277248
400,1,0.8,5,-0.5,5.73767,0.00547983,0.000902448
400,1,0.2,2.5,-0.7,-0.147622,0.0748831,0.00761332
400,1,0.2,2.5,-0.7,1.16741,0.0585537,0.00776344
400,1,0.2,2.5,-0.7,2.27313,0.0301828,0.00387242
400,1,0.2,2.5,-0.7,3.28716,0.0207769,0.00170667
400,1,0.2,2.5,-0.7,4.16189,0.0335272,0.00278192
400,1,0.2,2.5,-0.7,5.2628,0.0620841,0.00658076
400,1,0.2,2.5,-0.7,5.73767,0.0711823,0.00812972
400,1,0.4,2.5,-0.7,-0.147622,0.0164706,0.00118795
400,1,0.4,2.5,-0.7,1.16741,0.012879,0.00273922
400,1,0.4,2.5,-0.7,2.27313,0.00663876,0.00128257
400,1,0.4,2.5,-0.7,3.28716,0.00456992,7.60969E-05
400,1,0.4,2.5,-0.7,4.16189,0.00737436,9.48964E-05
400,1,0.4,2.5,-0.7,5.2628,0.0136555,0.00125362
400,1,0.4,2.5,-0.7,5.73767,0.0156567,0.0020219
400,1,0.6,2.5,-0.7,-0.147622,0.00601296,3.76063E-05
400,1,0.6,2.5,-0.7,1.16741,0.00470174,0.00183972
400,1,0.6,2.5,-0.7,2.27313,0.00242362,0.000818906
400,1,0.6,2.5,-0.7,3.28716,0.00166834,0.00039527
400,1,0.6,2.5,-0.7,4.16189,0.00269216,0.000609938
400,1,0.6,2.5,-0.7,5.2628,0.00498522,0.000299886
400,1,0.6,2.5,-0.7,5.73767,0.00571579,0.000928404
400,1,0.8,2.5,-0.7,-0.147622,0.00264341,0.000333043
400,1,0.8,2.5,-0.7,1.16741,0.00206698,0.00154989
400,1,0.8,2.5,-0.7,2.27313,0.00106547,0.00066951
400,1,0.8,2.5,-0.7,3.28716,0.000733437,0.00049811
400,1,0.8,2.5,-0.7,4.16189,0.00118353,0.000775888
400,1,0.8,2.5,-0.7,5.2628,0.0021916,7.41189E-06
400,1,0.8,2.5,-0.7,5.73767,0.00251277,0.000576072
400,1,0.2,3,-0.7,-0.147622,0.0759019,0.0077254
400,1,0.2,3,-0.7,1.16741,0.0593504,0.00785107
400,1,0.2,3,-0.7,2.27313,0.0305935,0.00391759
400,1,0.2,3,-0.7,3.28716,0.0210596,0.00173777
400,1,0.2,3,-0.7,4.16189,0.0339834,0.0028321
400,1,0.2,3,-0.7,5.2628,0.0629288,0.00667368
400,1,0.2,3,-0.7,5.73767,0.0721508,0.00823626
400,1,0.4,3,-0.7,-0.147622,0.0173356,0.0012831
400,1,0.4,3,-0.7,1.16741,0.0135553,0.00281362
400,1,0.4,3,-0.7,2.27313,0.00698741,0.00132092
400,1,0.4,3,-0.7,3.28716,0.00480991,4.96971E-05
400,1,0.4,3,-0.7,4.16189,0.00776164,5.22958E-05
400,1,0.4,3,-0.7,5.2628,0.0143726,0.0013325
400,1,0.4,3,-0.7,5.73767,0.0164789,0.00211235
400,1,0.6,3,-0.7,-0.147622,0.00668401,0.000111422
400,1,0.6,3,-0.7,1.16741,0.00522646,0.00189744
400,1,0.6,3,-0.7,2.27313,0.0026941,0.000848659
400,1,0.6,3,-0.7,3.28716,0.00185453,0.000374789
400,1,0.6,3,-0.7,4.16189,0.00299261,0.000576888
400,1,0.6,3,-0.7,5.2628,0.00554158,0.000361086
400,1,0.6,3,-0.7,5.73767,0.00635368,0.000998572
400,1,0.8,3,-0.7,-0.147622,0.00312979,0.000279542
400,1,0.8,3,-0.7,1.16741,0.0024473,0.00159173
400,1,0.8,3,-0.7,2.27313,0.00126151,0.000691075
400,1,0.8,3,-0.7,3.28716,0.000868387,0.000483265
400,1,0.8,3,-0.7,4.16189,0.00140129,0.000751933
400,1,0.8,3,-0.7,5.2628,0.00259485,3.69452E-05
400,1,0.8,3,-0.7,5.73767,0.00297512,0.00062693
400,1,0.2,3.5,-0.7,-0.147622,0.0765264,0.00779408
400,1,0.2,3.5,-0.7,1.16741,0.0598387,0.00790478
400,1,0.2,3.5,-0.7,2.27313,0.0308452,0.00394528
400,1,0.2,3.5,-0.7,3.28716,0.0212329,0.00175683
400,1,0.2,3.5,-0.7,4.16189,0.034263,0.00286285
400,1,0.2,3.5,-0.7,5.2628,0.0634465,0.00673063
400,1,0.2,3.5,-0.7,5.73767,0.0727444,0.00830155
400,1,0.4,3.5,-0.7,-0.147622,0.0178905,0.00134414
400,1,0.4,3.5,-0.7,1.16741,0.0139892,0.00286134
400,1,0.4,3.5,-0.7,2.27313,0.00721107,0.00134553
400,1,0.4,3.5,-0.7,3.28716,0.00496388,3.27612E-05
400,1,0.4,3.5,-0.7,4.16189,0.00801008,2.49668E-05
400,1,0.4,3.5,-0.7,5.2628,0.0148327,0.00138311
400,1,0.4,3.5,-0.7,5.73767,0.0170064,0.00217037
400,1,0.6,3.5,-0.7,-0.147622,0.00714439,0.000162064
400,1,0.6,3.5,-0.7,1.16741,0.00558645,0.00193704
400,1,0.6,3.5,-0.7,2.27313,0.00287966,0.000869071
400,1,0.6,3.5,-0.7,3.28716,0.00198227,0.000360738
400,1,0.6,3.5,-0.7,4.16189,0.00319874,0.000554214
400,1,0.6,3.5,-0.7,5.2628,0.00592327,0.000403072
400,1,0.6,3.5,-0.7,5.73767,0.00679131,0.00104671
400,1,0.8,3.5,-0.7,-0.147622,0.00349089,0.000239821
400,1,0.8,3.5,-0.7,1.16741,0.00272965,0.00162279
400,1,0.8,3.5,-0.7,2.27313,0.00140706,0.000707085
400,1,0.8,3.5,-0.7,3.28716,0.000968576,0.000472244
400,1,0.8,3.5,-0.7,4.16189,0.00156297,0.000734149
